Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,,1.83kg,216962.1324
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,44362.188
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,,0.92kg,112252.608
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,135029.466
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,66245.4
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,,1.83kg,254133.36
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,44371.08
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22kg,87052.68
Asus,Vivobook E200HA,Netbook,"11.6""",1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98kg,17063.748
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,88831.08
HP,255 G6,Notebook,"15.6""",1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,,1.86kg,22941.36
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,72825.48
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,58598.28
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.3kg,37225.4688
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,97723.08
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,71136
Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,115418.16
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,79672.32
Chuwi,"LapBook 15.6""",Notebook,"15.6""",Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,21784.5108
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65kg,17695.08
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,"17.3""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows,10,2.71kg,39035.88
Dell,XPS 13,Ultrabook,"13.3""",Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,166191.48
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,88742.16
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,22141.08
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2.1kg,32633.64
Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,87052.68
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,43454.3148
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.1kg,78160.68
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2kg,34589.88
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,133291.08
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,46504.2708
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2kg,60643.44
Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,88831.08
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,,1.37kg,126177.48
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,,2.2kg,32811.48
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,115507.08
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3kg,56819.88
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,41436.72
Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,,0.69kg,28365.48
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2kg,74781.72
HP,255 G6,Notebook,"15.6""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,35433.7308
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,98078.76
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,34145.28
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,68272.776
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.91kg,39035.88
Asus,VivoBook Max,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,52124.0148
MSI,GS73VR 7RG,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43kg,217765.08
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,,2kg,36901.8
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,115507.08
Dell,Vostro 5471,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7kg,78160.68
Lenovo,IdeaPad 520S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.7kg,53263.08
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,83673.72
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,61354.8
Asus,ZenBook Pro,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,176328.36
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,39008.3148
HP,Stream 14-AX040wm,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,Windows,10,1.44kg,20362.68
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.9kg,48817.08
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,84385.08
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,96833.88
Dell,Inspiron 5370,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.4kg,84918.6
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,77360.4
MSI,GL72M 7RDX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7kg,97367.4
Acer,Aspire E5-475,Notebook,"14.0""",1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.1kg,34589.88
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,84385.08
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,,2.2kg,46149.48
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,10,2.02kg,76026.6
Acer,Aspire A515-51G-32MX,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,47127.6
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,86874.84
Dell,Latitude 5590,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,97470.5472
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,,0.92kg,134269.2
HP,ProBook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.63kg,76471.2
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows,10,2.2kg,35479.08
Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows,10,2.1kg,35123.4
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,119953.08
HP,Pavilion 15-CK000nv,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows,10,1.83kg,62155.08
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.96kg,53262.1908
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.2kg,128845.08
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,146629.08
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,"15.6""",Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,1TB HDD,AMD Radeon RX 560,Windows,10,2.45kg,62155.08
Acer,Aspire 5,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX150,Windows,10,2.2kg,61265.88
HP,Probook 430,Notebook,"13.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,106437.24
Dell,Inspiron 7577,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,106259.4
Asus,Zenbook UX430UA,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,93277.08
Acer,Spin 5,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.5kg,75315.24
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R5 M430,Linux,,2.2kg,53343.108
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.2kg,43126.2
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,256GB SSD,Nvidia GeForce 920M,Windows,10,2kg,51306.84
HP,Omen 15-ce007nv,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,111061.08
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.91kg,63933.48
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,"15.6""",Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,Windows,10,2.1kg,31033.08
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,Linux,,2.2kg,57531.24
HP,Envy 13-ad009n,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,1.38kg,99501.48
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,119152.8
HP,Pavilion 14-BK001nv,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.58kg,58598.28
Lenovo,Ideapad 310-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,1.85kg,36892.908
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.3kg,106081.56
MSI,GP62M 7REX,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,115507.08
Lenovo,Thinkpad T470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.58kg,131601.6
Asus,VivoBook S15,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows,10,1.5kg,112217.04
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10,1.23kg,122620.68
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,124399.08
HP,Probook 440,Notebook,"14.0""",IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,64200.24
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,144850.68
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.26kg,124398.1908
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.63kg,96389.28
Dell,Inspiron 7570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.16kg,100508.9436
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,"17.3""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2kg,50150.88
Asus,VivoBook S15,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,99412.56
Acer,Spin 3,Notebook,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.1kg,42592.68
MSI,GS63VR 7RG,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,1.8kg,199314.18
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,No OS,,2.2kg,55930.68
HP,Probook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce 930MX ,Windows,10,2.5kg,113017.32
Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,Windows,10,2.1kg,40102.92
HP,250 G6,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,No OS,,1.86kg,23030.28
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,72203.04
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,"14.0""",1366x768,AMD E-Series 6110 1.5GHz,4GB,64GB SSD,AMD Radeon R2,Windows,10 S,1.65kg,24718.8708
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,124132.32
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.5kg,82517.76
Dell,Inspiron 5567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Windows,10,2.36kg,56818.9908
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,39925.08
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,78605.28
Acer,Aspire A515-51G-37JS,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Windows,10,2.2kg,50862.24
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,"15.6""",1366x768,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.05kg,53174.16
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.63kg,87852.96
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,No OS,,1.9kg,22439.8512
